Date,Close/Last,Volume,Open,High,Low,Days
03/20/2023,183.25,"129,684,400.00",178.08,186.44,176.35,879
03/17/2023,180.13,"133,197,100.00",184.52,186.22,177.33,878
03/16/2023,184.13,"121,374,500.00",180.37,185.81,178.84,877
03/15/2023,180.45,"145,995,600.00",180.80,182.34,176.03,876
03/14/2023,183.26,"143,717,900.00",177.31,183.80,177.14,875
03/13/2023,174.48,"167,790,300.00",167.46,177.35,163.91,874
03/10/2023,173.44,"191,488,900.00",175.13,178.29,168.44,873
03/09/2023,172.92,"170,023,800.00",180.25,185.18,172.51,872
03/08/2023,182.00,"151,897,800.00",185.04,186.50,180.00,871
03/07/2023,187.71,"148,125,800.00",191.38,194.20,186.10,870
03/06/2023,193.81,"128,100,100.00",198.54,198.60,192.30,869
03/03/2023,197.79,"154,193,300.00",194.80,200.48,192.88,868
03/02/2023,190.90,"181,979,200.00",186.74,193.75,186.01,867
03/01/2023,202.77,"156,852,800.00",206.21,207.20,198.52,866
02/28/2023,205.71,"153,144,900.00",210.59,211.23,203.75,865
02/27/2023,207.63,"161,028,300.00",202.03,209.42,201.26,864
02/24/2023,196.88,"142,228,100.00",196.33,197.67,192.80,863
02/23/2023,202.07,"146,360,000.00",203.91,205.14,196.33,862
02/22/2023,200.86,"191,828,500.00",197.93,201.99,191.78,861
02/21/2023,197.37,"180,018,600.00",204.99,209.71,197.22,860
02/17/2023,208.31,"213,738,500.00",199.99,208.44,197.50,859
02/16/2023,202.04,"229,586,500.00",210.78,217.65,201.84,858
02/15/2023,214.24,"182,108,600.00",211.76,214.66,206.11,857
